iter;tot_exp;exp_01;exp_07;exp_10
65;28894027335.142;9312035266.68552;2745905149.36702;1353594563.47103
66;28928520236.9919;9268660878.76424;2778756289.99379;1365395876.34026
67;28713294689.9325;9289736552.91447;2780548588.87069;1347038672.02869
68;28871617974.8054;9277872406.40616;2741621486.6016;1356628735.9647
69;28884008631.8787;9321764235.51117;2738087283.38327;1355429603.78715
70;28928143941.8601;9328391353.38757;2735582165.75872;1354500607.26516
71;28540379756.3106;9284038142.62643;2730046166.76575;1348742034.56233
72;29048153928.8844;9349097198.14254;2724688684.35922;1368512127.49144
73;28946998227.9556;9318218701.66763;2698382267.54793;1384226260.99366
74;28918077665.3434;9246486783.33349;2746903736.37479;1357505917.99773
75;28749918551.3461;9284500038.05131;2741132881.51455;1364276396.10201
76;28906477818.7066;9302278980.97772;2743057195.17523;1367311376.74869
77;28852229442.334;9327079040.88721;2730880645.87266;1354172230.32684
78;28953972451.7611;9293985682.96631;2728883285.9497;1363296395.22354
79;29042397934.8289;9306205506.05378;2735955883.24239;1358049302.39077
80;29149683479.73;9252636639.97248;2728011997.91475;1357837766.50935
81;29018934425.0271;9340222773.72842;2712829541.3675;1354078601.59869
82;28771956217.8647;9302725551.41087;2716818891.33087;1362614905.98891
83;28782352627.4971;9300201215.70125;2742871066.66972;1333732251.34428
84;28994500025.6738;9264226945.0431;2675597187.79093;1368445476.65819
85;28815643990.8852;9321168828.4771;2740180274.22173;1361084273.12413
86;28996191781.6287;9271821752.67155;2739350103.8781;1365183882.26037
87;28978677921.8178;9270514877.22748;2743032666.49614;1344813291.062
88;28732523128.4967;9294094900.32498;2723237560.40762;1345125220.24783
89;29085165618.7082;9299700407.00142;2732367006.45177;1376593481.71222
90;29293950495.4738;9294656682.62289;2738606583.47527;1351229925.86311
91;28958415003.9044;9299856619.64592;2742437479.90272;1349837882.57768
92;28807928460.2944;9285954242.20955;2779237908.93257;1343756902.61659
93;28940595965.1275;9305086952.62816;2731502497.92923;1358460896.26156
