geo1;n;iter;diff_rel
1;2502;1;0.0473600328042573
10;2502;1;0.0370652616454199
2;2502;1;-0.000570455296776496
3;2502;1;0.0226271255722695
4;2502;1;-0.0664601908689888
5;2502;1;0.0285302948388351
6;2502;1;0.00529215542599714
7;2502;1;0.0341955631274169
8;2502;1;-0.0965354738273564
9;2502;1;-0.0423761443236396
1;2502;2;0.0561123450561036
10;2502;2;-0.00992151396311044
2;2502;2;-0.0298424503299252
3;2502;2;-0.0164315493627825
4;2502;2;-0.0448754553977515
5;2502;2;-0.0188674146007426
6;2502;2;0.0480705450185928
7;2502;2;0.0782038849626261
8;2502;2;-0.0576767845296083
9;2502;2;-0.00407119009658518
1;2502;3;-0.0401630897142042
10;2502;3;0.0236404686144112
2;2502;3;0.0412466804648648
3;2502;3;-0.0625918015587531
4;2502;3;0.0387653945532927
5;2502;3;0.0996268589982016
6;2502;3;-0.0321389354675239
7;2502;3;-0.0813262816900072
8;2502;3;0.0103259217414511
9;2502;3;-0.00407119009658518
1;2502;4;-0.0459979645487684
10;2502;4;0.0135718738411548
2;2502;4;0.0412466804648648
3;2502;4;-0.0696933788196716
4;2502;4;0.0414634864871975
5;2502;4;0.0237905238948774
6;2502;4;-0.0535281302638217
7;2502;4;-0.0648231610018038
8;2502;4;0.0297552663903251
9;2502;4;0.0690564497914277
1;2502;5;0.0736169695597958
10;2502;5;-0.0535520913138887
2;2502;5;-0.0256607367537612
3;2502;5;-0.00932997210186399
4;2502;5;-0.0178945360587051
5;2502;5;-0.052045811208447
6;2502;5;0.0480705450185928
7;2502;5;0.0727028447332251
8;2502;5;-0.01881809523186
9;2502;5;-0.0110357272287769
1;2502;6;-0.0635025890524606
10;2502;6;-0.00320911744760611
2;2502;6;-0.0507510182107459
3;2502;6;-0.00932997210186399
4;2502;6;0.0495577622889114
5;2502;6;-0.0473060402644892
6;2502;6;-0.00540244197215176
7;2502;6;0.0231934826686146
8;2502;6;0.0686139556880732
9;2502;6;0.0655741812253319
1;2502;7;0.0356902831351291
10;2502;7;0.0102156755834026
2;2502;7;0.00361125827938769
3;2502;7;0.00842397105043241
4;2502;7;-0.042177363463847
5;2502;7;0.0285302948388351
6;2502;7;-0.021444338069375
7;2502;7;0.0727028447332251
8;2502;7;-0.0965354738273564
9;2502;7;-0.0284470700592562
1;2502;8;0.07945184439436
10;2502;8;-0.0401272982828799
2;2502;8;-0.0382058774822534
3;2502;8;-0.0164315493627825
4;2502;8;-0.0313849957282284
5;2502;8;-0.0567855821524047
6;2502;8;0.0694597398148906
7;2502;8;0.0782038849626261
8;2502;8;-0.0285327675562972
9;2502;8;-0.0075534586626811
1;2502;9;-0.0605851516351787
10;2502;9;0.0102156755834026
2;2502;9;0.049610107617193
3;2502;9;-0.0590410129282937
4;2502;9;0.0414634864871975
5;2502;9;0.0237905238948774
6;2502;9;-0.0428335328656728
7;2502;9;-0.0758252414606061
8;2502;9;0.0491846110391992
9;2502;9;0.0655741812253319
1;2502;10;0.0444425953869754
10;2502;10;0.000147080810146118
2;2502;10;-0.00893388244910472
3;2502;10;0.0155255483113509
4;2502;10;-0.042177363463847
5;2502;10;0.0332700657827929
6;2502;10;-0.0321389354675239
7;2502;10;0.0727028447332251
8;2502;10;-0.0868208015029193
9;2502;10;-0.0249648014931604
1;2502;11;0.0561123450561036
10;2502;11;-0.0904702721491624
2;2502;11;-0.0382058774822534
3;2502;11;0.0687873777682399
4;2502;11;-0.00170598445527703
5;2502;11;-0.0804844368721936
6;2502;11;0.0373759476204439
7;2502;11;0.0892059654214284
8;2502;11;-0.00910342290742297
9;2502;11;-0.0249648014931604
1;2502;12;0.0473600328042573
10;2502;12;-0.00992151396311044
2;2502;12;-0.00893388244910472
3;2502;12;0.0155255483113509
4;2502;12;-0.042177363463847
5;2502;12;0.0380098367267506
6;2502;12;-0.0374862341665985
7;2502;12;0.0727028447332251
8;2502;12;-0.0771061291784823
9;2502;12;-0.0214825329270645
1;2502;13;0.00359847154502655
10;2502;13;-0.0468396947983842
2;2502;13;-0.0758412996677305
3;2502;13;0.0545842232464028
4;2502;13;0.0198787510159602
5;2502;13;-0.0473060402644892
6;2502;13;-0.0107497406712261
7;2502;13;0.0727028447332251
8;2502;13;-0.00910342290742297
9;2502;13;0.0272692269982774
1;2502;14;0.00359847154502655
10;2502;14;0.0303528651299156
2;2502;14;0.0328832533125366
3;2502;14;0.0368302800941065
4;2502;14;-0.0394792715299423
5;2502;14;0.071188233334455
6;2502;14;0.0373759476204439
7;2502;14;-0.0483200403136003
8;2502;14;-0.0771061291784823
9;2502;14;-0.0667520242863107
1;2502;15;-0.0605851516351787
10;2502;15;-0.0233463069941191
2;2502;15;-0.0549327317869099
3;2502;15;0.00842397105043241
4;2502;15;0.0549539461567208
5;2502;15;-0.0662651240403202
6;2502;15;-0.00540244197215176
7;2502;15;0.0506986838156205
8;2502;15;0.126901989634695
9;2502;15;0.0377160326965651
1;2502;16;0.0677820947252318
10;2502;16;-0.080401677375906
2;2502;16;-0.0256607367537612
3;2502;16;0.00487318241997308
4;2502;16;0.00369019941253218
5;2502;16;-0.0852242078161513
6;2502;16;0.0320286489213695
7;2502;16;0.105709086109632
8;2502;16;0.0200405940658881
9;2502;16;-0.0180002643609687
1;2502;17;-0.0576677142178966
10;2502;17;0.0303528651299156
2;2502;17;0.0161563990078801
3;2502;17;-0.0625918015587531
4;2502;17;0.06035013002453
5;2502;17;-0.0141276436567847
6;2502;17;-0.0374862341665985
7;2502;17;-0.0318169196253969
8;2502;17;0.0686139556880732
9;2502;17;0.0377160326965651
1;2502;18;-0.081007213556153
10;2502;18;-0.00656531570535822
2;2502;18;0.0747003890741777
3;2502;18;-0.0377362811455381
4;2502;18;0.0630482219584347
5;2502;18;0.0380098367267506
6;2502;18;-0.0428335328656728
7;2502;18;-0.0978294023782107
8;2502;18;0.0394699387147622
9;2502;18;0.0446805698287568
1;2502;19;-0.0255759026277939
10;2502;19;0.0337090633876678
2;2502;19;0.0454283940410288
3;2502;19;-0.0341854925150789
4;2502;19;0.0117844752142463
5;2502;19;0.0806677752223706
6;2502;19;-0.0267916367684496
7;2502;19;-0.108831482837013
8;2502;19;0.0200405940658881
9;2502;19;-0.00407119009658518
1;2502;20;-0.0314107774623581
10;2502;20;-0.0334149017673755
2;2502;20;-0.0758412996677305
3;2502;20;0.0403810687245658
4;2502;20;0.0333692106854835
5;2502;20;-0.0804844368721936
6;2502;20;-0.00540244197215176
7;2502;20;0.0727028447332251
8;2502;20;0.0394699387147622
9;2502;20;0.0551273755270443
1;2502;21;-0.0168235903759478
10;2502;21;0.0504900546764287
2;2502;21;0.0621552483456853
3;2502;21;-0.0341854925150789
4;2502;21;-0.00440407638918174
5;2502;21;0.071188233334455
6;2502;21;-0.0428335328656728
7;2502;21;-0.103330442607612
8;2502;21;-0.00910342290742297
9;2502;21;-0.000588921530489386
1;2502;22;-0.0197410277932299
10;2502;22;0.0605586494496851
2;2502;22;0.0119746854317159
3;2502;22;0.0332794914636472
4;2502;22;-0.00710216832308644
5;2502;22;0.109106400886117
6;2502;22;0.0106394541250717
7;2502;22;-0.0868273219194084
8;2502;22;-0.0382474398807342
9;2502;22;-0.0911279042489816
1;2502;23;-0.0664200264697427
10;2502;23;0.00350327906789823
2;2502;23;0.0621552483456853
3;2502;23;-0.0412870697759975
4;2502;23;0.0549539461567208
5;2502;23;0.0332700657827929
6;2502;23;-0.0588754289628963
7;2502;23;-0.108831482837013
8;2502;23;0.0297552663903251
9;2502;23;0.0655741812253319
1;2502;24;-0.022658465210512
10;2502;24;0.077339640738446
2;2502;24;0.0747003890741777
3;2502;24;0.029728702833188
4;2502;24;-0.0367811795960376
5;2502;24;0.052229149558624
6;2502;24;0.0320286489213695
7;2502;24;-0.114332523066414
8;2502;24;-0.0479621122051712
9;2502;24;-0.0667520242863107
1;2502;25;-0.00223640328953745
10;2502;25;0.0874082355117024
2;2502;25;0.0454283940410288
3;2502;25;-0.0164315493627825
4;2502;25;-0.025988811860419
5;2502;25;0.0427496076707084
6;2502;25;-0.00540244197215176
7;2502;25;-0.136336683984019
8;2502;25;-0.0285327675562972
9;2502;25;-0.0075534586626811
1;2502;26;-0.0401630897142042
10;2502;26;0.0135718738411548
2;2502;26;-0.0131155960252688
3;2502;26;-0.0625918015587531
4;2502;26;0.0495577622889114
5;2502;26;-0.0236071855447003
6;2502;26;-0.0802646237591941
7;2502;26;-0.00431171847839104
8;2502;26;0.0880433003369473
9;2502;26;0.0829855240558111
1;2502;27;-0.0401630897142042
10;2502;27;0.0269966668721635
2;2502;27;0.0412466804648648
3;2502;27;-0.0590410129282937
4;2502;27;0.0387653945532927
5;2502;27;0.0854075461663282
6;2502;27;-0.0321389354675239
7;2502;27;-0.0868273219194084
8;2502;27;0.0200405940658881
9;2502;27;-0.000588921530489386
1;2502;28;-0.0489154019660503
10;2502;28;0.0437776581609242
2;2502;28;0.049610107617193
3;2502;28;-0.0838965333415087
4;2502;28;0.0414634864871975
5;2502;28;-0.00938787271282704
6;2502;28;-0.0374862341665985
7;2502;28;-0.0703242012312049
8;2502;28;0.0491846110391992
9;2502;28;0.0586096440931402
1;2502;29;0.0736169695597958
10;2502;29;-0.0837578756336581
2;2502;29;-0.0172973096014329
3;2502;29;0.0226271255722695
4;2502;29;0.00369019941253218
5;2502;29;-0.0994435206480246
6;2502;29;0.0373759476204439
7;2502;29;0.0782038849626261
8;2502;29;0.0200405940658881
9;2502;29;-0.0214825329270645
1;2502;30;-0.00807127812410166
10;2502;30;0.0639148477074373
2;2502;30;0.0328832533125366
3;2502;30;-0.00222839484094545
4;2502;30;-0.0124983521908957
5;2502;30;0.052229149558624
6;2502;30;0.0213340515232206
7;2502;30;-0.108831482837013
8;2502;30;-0.0285327675562972
9;2502;30;-0.0388938757575438
1;2502;31;0.0590297824733855
10;2502;31;-0.107251263437923
2;2502;31;-0.00893388244910472
3;2502;31;0.0510334346159436
4;2502;31;-0.00980026025699095
5;2502;31;-0.0852242078161513
6;2502;31;0.0480705450185928
7;2502;31;0.111210126339033
8;2502;31;-0.01881809523186
9;2502;31;-0.0214825329270645
1;2502;32;0.0502774702215394
10;2502;32;0.00350327906789823
2;2502;32;0.00779297185555173
3;2502;32;-0.00577918347140478
4;2502;32;-0.042177363463847
5;2502;32;0.00483144011904633
6;2502;32;-0.00540244197215176
7;2502;32;0.100208045880231
8;2502;32;-0.0673914568540453
9;2502;32;-0.0493406814558314
1;2502;33;0.00359847154502655
10;2502;33;0.077339640738446
2;2502;33;0.0454283940410288
3;2502;33;-0.0377362811455381
4;2502;33;-0.025988811860419
5;2502;33;0.0759280042784127
6;2502;33;-0.0374862341665985
7;2502;33;-0.0978294023782107
8;2502;33;-0.0576767845296083
9;2502;33;-0.000588921530489386
1;2502;34;-0.0547502768006145
10;2502;34;-0.0267025052518712
2;2502;34;-0.0716595860915664
3;2502;34;0.0226271255722695
4;2502;34;0.0468596703550067
5;2502;34;-0.0662651240403202
6;2502;34;0.026681350222295
7;2502;34;0.0341955631274169
8;2502;34;0.126901989634695
9;2502;34;0.0342337641304692
1;2502;35;-0.0139061529586657
10;2502;35;0.0639148477074373
2;2502;35;0.0161563990078801
3;2502;35;0.0261779142027287
4;2502;35;-0.00980026025699095
5;2502;35;0.109106400886117
6;2502;35;0.0106394541250717
7;2502;35;-0.0813262816900072
8;2502;35;-0.0285327675562972
9;2502;35;-0.101574709947269
1;2502;36;0.00943334637959076
10;2502;36;0.0269966668721635
2;2502;36;0.0245198261602083
3;2502;36;0.0368302800941065
4;2502;36;-0.042177363463847
5;2502;36;0.071188233334455
6;2502;36;0.0373759476204439
7;2502;36;-0.0483200403136003
8;2502;36;-0.0673914568540453
9;2502;36;-0.0632697557202148
1;2502;37;-0.0401630897142042
10;2502;37;0.0236404686144112
2;2502;37;-0.021479023177597
3;2502;37;-0.0803457447110493
4;2502;37;0.0549539461567208
5;2502;37;-0.0188674146007426
6;2502;37;-0.0695700263610452
7;2502;37;0.00118932175101001
8;2502;37;0.0783286280125103
9;2502;37;0.0795032554897153
1;2502;38;-0.0576677142178966
10;2502;38;0.00685947732565045
2;2502;38;0.0579735347695212
3;2502;38;-0.0554902242978345
4;2502;38;0.0414634864871975
5;2502;38;0.0190507529509195
6;2502;38;-0.0374862341665985
7;2502;38;-0.0868273219194084
8;2502;38;0.0297552663903251
9;2502;38;0.0690564497914277
1;2502;39;0.0181856586314369
10;2502;39;-0.0569082895716408
2;2502;39;-0.0674778725154023
3;2502;39;0.0723381663986992
4;2502;39;0.00369019941253218
5;2502;39;-0.0662651240403202
6;2502;39;-0.0107497406712261
7;2502;39;0.0782038849626261
8;2502;39;0.000611249417014056
9;2502;39;0.0237869584321817
1;2502;40;0.00359847154502655
10;2502;40;-0.0535520913138887
2;2502;40;-0.0716595860915664
3;2502;40;0.0545842232464028
4;2502;40;0.0225768429498649
5;2502;40;-0.0615253530963625
6;2502;40;-0.021444338069375
7;2502;40;0.0672018045038238
8;2502;40;0.0103259217414511
9;2502;40;0.0411983012626609
1;2502;41;-0.022658465210512
10;2502;41;-0.0300587035096234
2;2502;41;-0.0716595860915664
3;2502;41;0.0332794914636472
4;2502;41;0.0225768429498649
5;2502;41;-0.052045811208447
6;2502;41;-0.00540244197215176
7;2502;41;0.0341955631274169
8;2502;41;0.107472644985821
9;2502;41;0.0377160326965651
1;2502;42;-0.0489154019660503
10;2502;42;0.0437776581609242
2;2502;42;0.049610107617193
3;2502;42;-0.0838965333415087
4;2502;42;0.0414634864871975
5;2502;42;-0.00938787271282704
6;2502;42;-0.0374862341665985
7;2502;42;-0.0703242012312049
8;2502;42;0.0491846110391992
9;2502;42;0.0586096440931402
1;2502;43;0.0531949076388215
10;2502;43;-0.100538866922419
2;2502;43;-0.00893388244910472
3;2502;43;0.0545842232464028
4;2502;43;-0.00710216832308644
5;2502;43;-0.0899639787601091
6;2502;43;0.0587651424167417
7;2502;43;0.105709086109632
8;2502;43;-0.0285327675562972
9;2502;43;-0.0249648014931604
1;2502;44;-0.0314107774623581
10;2502;44;-0.0401272982828799
2;2502;44;-0.0800230132438946
3;2502;44;0.0332794914636472
4;2502;44;0.0225768429498649
5;2502;44;-0.0330867274326158
6;2502;44;0.015986752824146
7;2502;44;0.0396966033568182
8;2502;44;0.156046006608006
9;2502;44;0.0168224212999899
1;2502;45;-0.0839246509734351
10;2502;45;0.00350327906789823
2;2502;45;0.0914272433788341
3;2502;45;-0.0625918015587531
4;2502;45;0.0576520380906253
5;2502;45;0.0569689205025817
6;2502;45;-0.0374862341665985
7;2502;45;-0.0868273219194084
8;2502;45;0.000611249417014056
9;2502;45;0.0446805698287568
1;2502;46;0.0648646573079497
10;2502;46;0.0169280720989069
2;2502;46;-0.021479023177597
3;2502;46;0.0190763369418102
4;2502;46;-0.0556678231333701
5;2502;46;0.0190507529509195
6;2502;46;-0.0160970393703007
7;2502;46;0.0506986838156205
8;2502;46;-0.0673914568540453
9;2502;46;-0.0354116071914479
1;2502;47;0.0502774702215394
10;2502;47;0.0236404686144112
2;2502;47;0.00361125827938769
3;2502;47;0.029728702833188
4;2502;47;-0.0637620989350843
5;2502;47;0.0332700657827929
6;2502;47;-0.0160970393703007
7;2502;47;0.0396966033568182
8;2502;47;-0.106250146151793
9;2502;47;-0.0354116071914479
1;2502;48;-0.0197410277932299
10;2502;48;-0.0434834965406321
2;2502;48;-0.0716595860915664
3;2502;48;0.0368302800941065
4;2502;48;0.0225768429498649
5;2502;48;-0.0615253530963625
6;2502;48;-5.51432730772137e-05
7;2502;48;0.0837049251920274
8;2502;48;0.0686139556880732
9;2502;48;0.0307514955643734
1;2502;49;-0.081007213556153
10;2502;49;-0.00992151396311044
2;2502;49;0.0788821026503417
3;2502;49;-0.0412870697759975
4;2502;49;0.0630482219584347
5;2502;49;0.0380098367267506
6;2502;49;-0.0428335328656728
7;2502;49;-0.0978294023782107
8;2502;49;0.0394699387147622
9;2502;49;0.0481628383948526
1;2502;50;0.0736169695597958
10;2502;50;-0.103895065180171
2;2502;50;-0.000570455296776496
3;2502;50;0.0439318573550251
4;2502;50;-0.0313849957282284
5;2502;50;-0.0804844368721936
6;2502;50;0.0641124411158162
7;2502;50;0.105709086109632
8;2502;50;-0.0285327675562972
9;2502;50;-0.0214825329270645
1;2502;51;-0.0547502768006145
10;2502;51;-0.0267025052518712
2;2502;51;-0.0507510182107459
3;2502;51;0.00132239378951375
4;2502;51;0.0441615784211022
5;2502;51;-0.0615253530963625
6;2502;51;-5.51432730772137e-05
7;2502;51;0.0506986838156205
8;2502;51;0.117187317310258
9;2502;51;0.0481628383948526
1;2502;52;0.0386077205524112
10;2502;52;-0.00992151396311044
2;2502;52;-0.00475216887294054
3;2502;52;0.0368302800941065
4;2502;52;-0.0475735473316562
5;2502;52;0.0332700657827929
6;2502;52;-0.0374862341665985
7;2502;52;0.0782038849626261
8;2502;52;-0.0673914568540453
9;2502;52;-0.0319293386253521
1;2502;53;-0.081007213556153
10;2502;53;0.00350327906789823
2;2502;53;0.0914272433788341
3;2502;53;-0.0661425901892123
4;2502;53;0.06035013002453
5;2502;53;0.0569689205025817
6;2502;53;-0.0374862341665985
7;2502;53;-0.0978294023782107
8;2502;53;0.000611249417014056
9;2502;53;0.0481628383948526
1;2502;54;0.0386077205524112
10;2502;54;0.0269966668721635
2;2502;54;-0.0172973096014329
3;2502;54;0.0332794914636472
4;2502;54;-0.0826487424724168
5;2502;54;0.071188233334455
6;2502;54;0.0427232463195184
7;2502;54;0.00669036198041126
8;2502;54;-0.0868208015029193
9;2502;54;-0.0388938757575438
1;2502;55;-0.028493340045076
10;2502;55;0.00685947732565045
2;2502;55;-0.0465693046345817
3;2502;55;-0.0554902242978345
4;2502;55;0.0576520380906253
5;2502;55;-0.071004894984278
6;2502;55;-5.51432730772137e-05
7;2502;55;0.00669036198041126
8;2502;55;0.0686139556880732
9;2502;55;0.0690564497914277
1;2502;56;0.0356902831351291
10;2502;56;0.0269966668721635
2;2502;56;-0.0172973096014329
3;2502;56;0.0368302800941065
4;2502;56;-0.0826487424724168
5;2502;56;0.071188233334455
6;2502;56;0.0427232463195184
7;2502;56;0.00669036198041126
8;2502;56;-0.0868208015029193
9;2502;56;-0.0388938757575438
1;2502;57;-0.0547502768006145
10;2502;57;0.0370652616454199
2;2502;57;0.0161563990078801
3;2502;57;-0.0625918015587531
4;2502;57;0.0549539461567208
5;2502;57;-0.0283469564886581
6;2502;57;-0.0321389354675239
7;2502;57;-0.0263158793959957
8;2502;57;0.0686139556880732
9;2502;57;0.0377160326965651
1;2502;58;0.0677820947252318
10;2502;58;-0.0770454791181538
2;2502;58;-0.0382058774822534
3;2502;58;0.0119747596808916
4;2502;58;0.00638829134643689
5;2502;58;-0.0899639787601091
6;2502;58;0.026681350222295
7;2502;58;0.100208045880231
8;2502;58;0.0200405940658881
9;2502;58;-0.0110357272287769
1;2502;59;0.0590297824733855
10;2502;59;0.0337090633876678
2;2502;59;-0.0172973096014329
3;2502;59;0.0119747596808916
4;2502;59;-0.0556678231333701
5;2502;59;0.0143109820069619
6;2502;59;-0.0267916367684496
7;2502;59;0.0561997240450215
8;2502;59;-0.0673914568540453
9;2502;59;-0.0354116071914479
1;2502;60;-0.0489154019660503
10;2502;60;0.0269966668721635
2;2502;60;0.0370649668887006
3;2502;60;-0.0590410129282937
4;2502;60;0.0441615784211022
5;2502;60;0.0664484623904972
6;2502;60;-0.0267916367684496
7;2502;60;-0.0868273219194084
8;2502;60;0.0297552663903251
9;2502;60;0.013340152733894
1;2502;61;-0.0109887155413838
10;2502;61;0.0605586494496851
2;2502;61;0.0328832533125366
3;2502;61;0.00132239378951375
4;2502;61;-0.00980026025699095
5;2502;61;0.052229149558624
6;2502;61;0.0213340515232206
7;2502;61;-0.108831482837013
8;2502;61;-0.0285327675562972
9;2502;61;-0.0388938757575438
1;2502;62;0.0531949076388215
10;2502;62;-0.080401677375906
2;2502;62;-0.0298424503299252
3;2502;62;0.082990532290077
4;2502;62;-0.0124983521908957
5;2502;62;-0.0804844368721936
6;2502;62;0.026681350222295
7;2502;62;0.0837049251920274
8;2502;62;-0.0285327675562972
9;2502;62;-0.0214825329270645
1;2502;63;-0.00807127812410166
10;2502;63;0.0572024511919329
2;2502;63;0.0621552483456853
3;2502;63;0.0261779142027287
4;2502;63;-0.0367811795960376
5;2502;63;0.0617086914465395
6;2502;63;0.0213340515232206
7;2502;63;-0.0923283621488095
8;2502;63;-0.0673914568540453
9;2502;63;-0.0563052185880231
1;2502;64;-0.0635025890524606
10;2502;64;0.0236404686144112
2;2502;64;0.0663369619218495
3;2502;64;-0.0625918015587531
4;2502;64;0.0576520380906253
5;2502;64;0.052229149558624
6;2502;64;-0.0374862341665985
7;2502;64;-0.103330442607612
8;2502;64;0.0491846110391992
9;2502;64;0.0168224212999899
1;2502;65;-0.00223640328953745
10;2502;65;0.0874082355117024
2;2502;65;0.0579735347695212
3;2502;65;-0.0341854925150789
4;2502;65;-0.025988811860419
5;2502;65;0.0332700657827929
6;2502;65;-0.0107497406712261
7;2502;65;-0.108831482837013
8;2502;65;-0.0285327675562972
9;2502;65;-0.0075534586626811
1;2502;66;-0.0839246509734351
10;2502;66;-0.00992151396311044
2;2502;66;0.0788821026503417
3;2502;66;-0.048388647036916
4;2502;66;0.0657463138923394
5;2502;66;0.0380098367267506
6;2502;66;-0.0374862341665985
7;2502;66;-0.0923283621488095
8;2502;66;0.0394699387147622
9;2502;66;0.0481628383948526
1;2502;67;-0.0664200264697427
10;2502;67;-0.00320911744760611
2;2502;67;0.0663369619218495
3;2502;67;-0.0341854925150789
4;2502;67;0.0360673026193881
5;2502;67;0.0427496076707084
6;2502;67;-0.0642227276619706
7;2502;67;-0.0813262816900072
8;2502;67;0.0200405940658881
9;2502;67;0.0690564497914277
1;2502;68;0.0327728457178472
10;2502;68;0.0169280720989069
2;2502;68;-0.00475216887294054
3;2502;68;0.0332794914636472
4;2502;68;-0.0637620989350843
5;2502;68;0.0854075461663282
6;2502;68;0.0320286489213695
7;2502;68;-0.00431171847839104
8;2502;68;-0.0868208015029193
9;2502;68;-0.0528229500219273
1;2502;69;0.00359847154502655
10;2502;69;-0.0501958930561364
2;2502;69;-0.0716595860915664
3;2502;69;0.0510334346159436
4;2502;69;0.0198787510159602
5;2502;69;-0.0567855821524047
6;2502;69;-0.021444338069375
7;2502;69;0.0672018045038238
8;2502;69;0.0103259217414511
9;2502;69;0.0411983012626609
1;2502;70;-0.0664200264697427
10;2502;70;-0.0132777122208626
2;2502;70;0.0579735347695212
3;2502;70;-0.0341854925150789
4;2502;70;0.0414634864871975
5;2502;70;0.0427496076707084
6;2502;70;-0.0642227276619706
