geo1;n;iter;diff_rel
1;2502;1;0.00359847154502655
10;2502;1;0.0169280720989069
2;2502;1;0.0245198261602083
3;2502;1;-0.00577918347140478
4;2502;1;-0.0637620989350843
5;2502;1;0.0996268589982016
6;2502;1;-0.0160970393703007
7;2502;1;-0.0978294023782107
8;2502;1;0.117187317310258
9;2502;1;0.00289334703560653
1;2502;2;-0.0197410277932299
10;2502;2;0.0706272442229416
2;2502;2;-0.100931581124715
3;2502;2;-0.00932997210186399
4;2502;2;-0.0124983521908957
5;2502;2;0.0380098367267506
6;2502;2;-0.0374862341665985
7;2502;2;-0.0263158793959957
8;2502;2;-0.0285327675562972
9;2502;2;0.0829855240558111
1;2502;3;-0.0139061529586657
10;2502;3;0.0605586494496851
2;2502;3;0.0454283940410288
3;2502;3;0.0190763369418102
4;2502;3;-0.0313849957282284
5;2502;3;-0.0994435206480246
6;2502;3;0.138974622902859
7;2502;3;0.0176924424392136
8;2502;3;-0.00910342290742297
9;2502;3;-0.0876456356828858
1;2502;4;0.00943334637959076
10;2502;4;-0.0132777122208626
2;2502;4;0.149971233445132
3;2502;4;-0.0803457447110493
4;2502;4;0.122406244504337
5;2502;4;-0.0473060402644892
6;2502;4;-5.51432730772137e-05
7;2502;4;-0.158340844901623
8;2502;4;-0.164538180098416
9;2502;4;-0.0075534586626811
1;2502;5;0.0298554083005651
10;2502;5;0.0471338564186765
2;2502;5;-0.021479023177597
3;2502;5;-0.0838965333415087
4;2502;5;0.0144825671481508
5;2502;5;-0.0615253530963625
6;2502;5;-0.0107497406712261
7;2502;5;0.0341955631274169
8;2502;5;0.000611249417014056
9;2502;5;0.0272692269982774
1;2502;6;-0.0722549013043069
10;2502;6;0.0102156755834026
2;2502;6;0.049610107617193
3;2502;6;-0.0412870697759975
4;2502;6;0.0414634864871975
5;2502;6;0.0996268589982016
6;2502;6;-0.0107497406712261
7;2502;6;0.0286945228980159
8;2502;6;0.175475351256881
9;2502;6;-0.12595058990994
1;2502;7;0.00359847154502655
10;2502;7;-0.00320911744760611
2;2502;7;0.00779297185555173
3;2502;7;0.0119747596808916
4;2502;7;-0.0178945360587051
5;2502;7;0.0427496076707084
6;2502;7;-0.0321389354675239
7;2502;7;-0.0208148391665946
8;2502;7;-0.0965354738273564
9;2502;7;0.0411983012626609
1;2502;8;0.000681034127744451
10;2502;8;-0.0569082895716408
2;2502;8;0.0412466804648648
3;2502;8;-0.0306347038846196
4;2502;8;-0.00710216832308644
5;2502;8;-0.0141276436567847
6;2502;8;-0.0695700263610452
7;2502;8;-0.00431171847839104
8;2502;8;0.175475351256881
9;2502;8;0.0586096440931402
1;2502;9;0.0386077205524112
10;2502;9;0.0538462529341807
2;2502;9;0.0454283940410288
3;2502;9;-0.12650599690702
4;2502;9;-0.0124983521908957
5;2502;9;0.0332700657827929
6;2502;9;-0.101653818555492
7;2502;9;-0.0208148391665946
8;2502;9;0.000611249417014056
9;2502;9;0.0551273755270443
1;2502;10;0.0502774702215394
10;2502;10;-0.0703330826026494
2;2502;10;0.133244379140475
3;2502;10;-0.0235331266237011
4;2502;10;-0.0178945360587051
5;2502;10;-0.0567855821524047
6;2502;10;0.160363817699156
7;2502;10;-0.114332523066414
8;2502;10;-0.106250146151793
9;2502;10;-0.00407119009658518
1;2502;11;0.0123507837968727
10;2502;11;-0.0267025052518712
2;2502;11;0.00361125827938769
3;2502;11;0.0758889550291584
4;2502;11;0.0900291412974814
5;2502;11;-0.113662833479898
6;2502;11;-0.0481808315647474
7;2502;11;-0.00431171847839104
8;2502;11;0.0686139556880732
9;2502;11;-0.0876456356828858
1;2502;12;-0.00807127812410166
10;2502;12;0.080695838996198
2;2502;12;-0.0465693046345817
3;2502;12;-0.0767949560805901
4;2502;12;0.00908638328034159
5;2502;12;-0.0804844368721936
6;2502;12;0.0534178437176673
7;2502;12;0.0286945228980159
8;2502;12;0.126901989634695
9;2502;12;-0.0110357272287769
1;2502;13;0.0590297824733855
10;2502;13;-0.0199901087363669
2;2502;13;0.00779297185555173
3;2502;13;-0.00932997210186399
4;2502;13;0.000992107478627668
5;2502;13;-0.0283469564886581
6;2502;13;0.149669220301007
7;2502;13;0.0286945228980159
8;2502;13;-0.135394163125104
9;2502;13;-0.0946101728150775
1;2502;14;-0.0605851516351787
10;2502;14;0.0471338564186765
2;2502;14;0.0747003890741777
3;2502;14;0.0581350118768622
4;2502;14;0.0171806590820555
5;2502;14;-0.132621917255729
6;2502;14;-0.0267916367684496
7;2502;14;0.0341955631274169
8;2502;14;-0.106250146151793
9;2502;14;0.013340152733894
1;2502;15;-0.028493340045076
10;2502;15;-0.0703330826026494
2;2502;15;-0.0298424503299252
3;2502;15;0.0616858005073214
4;2502;15;0.0117844752142463
5;2502;15;-0.00938787271282704
6;2502;15;0.0427232463195184
7;2502;15;-0.0703242012312049
8;2502;15;0.107472644985821
9;2502;15;0.0411983012626609
1;2502;16;-0.00515384070681955
10;2502;16;-0.0166339104786148
2;2502;16;-0.00475216887294054
3;2502;16;0.0261779142027287
4;2502;16;-0.00980026025699095
5;2502;16;0.0948870880542438
6;2502;16;0.0641124411158162
7;2502;16;-0.0703242012312049
8;2502;16;-0.0479621122051712
9;2502;16;-0.0354116071914479
1;2502;17;-0.0751723387215888
10;2502;17;0.0202842703566591
2;2502;17;0.0203381125840441
3;2502;17;0.0190763369418102
4;2502;17;-0.123120121480987
5;2502;17;-0.0188674146007426
6;2502;17;0.0641124411158162
