urbrur;n;iter;diff_rel
1;2502;1;-0.00289782019435632
2;2502;1;0.00236083610462001
1;2502;2;0.0104562268566122
2;2502;2;-0.00851862304268043
1;2502;3;0.00244379862603114
2;2502;3;-0.00199094755430016
1;2502;4;0.0166881154803975
2;2502;4;-0.0135957039780874
1;2502;5;0.00422433823282684
2;2502;5;-0.00344154210727349
1;2502;6;-0.0073491692113457
2;2502;6;0.00598732248705363
1;2502;7;0.00778541744641849
2;2502;7;-0.00634273121322034
1;2502;8;-0.0073491692113457
2;2502;8;0.00598732248705363
1;2502;9;-0.000227010784162528
2;2502;9;0.000184944275159924
1;2502;10;0.00155352882263317
2;2502;10;-0.0012656502778134
1;2502;11;0.00244379862603114
2;2502;11;-0.00199094755430016
1;2502;12;-0.0180324068521205
2;2502;12;0.014690889804894
1;2502;13;0.000663259019235322
2;2502;13;-0.000540353001326638
1;2502;14;0.00244379862603114
2;2502;14;-0.00199094755430016
1;2502;15;-0.00467835980115202
2;2502;15;0.00381143065759354
1;2502;16;-0.00912970881814152
2;2502;16;0.00743791704002695
1;2502;17;0.00333406842942899
2;2502;17;-0.00271624483078693
1;2502;18;0.00333406842942899
2;2502;18;-0.00271624483078693
1;2502;19;-0.0109102484249373
2;2502;19;0.00888851159300028
1;2502;20;0.00333406842942899
2;2502;20;-0.00271624483078693
1;2502;21;0.00333406842942899
2;2502;21;-0.00271624483078693
1;2502;22;-0.021593486065712
2;2502;22;0.0175920789108408
1;2502;23;0.00867568724981634
2;2502;23;-0.0070680284897071
1;2502;24;0.0113464966600101
2;2502;24;-0.00924392031916719
1;2502;25;0.000663259019235322
2;2502;25;-0.000540353001326638
1;2502;26;0.00244379862603114
2;2502;26;-0.00199094755430016
1;2502;27;-0.00467835980115202
2;2502;27;0.00381143065759354
1;2502;28;-0.00200755039095835
2;2502;28;0.00163553882813345
1;2502;29;-0.00289782019435632
2;2502;29;0.00236083610462001
1;2502;30;-0.00200755039095835
2;2502;30;0.00163553882813345
1;2502;31;-0.0109102484249373
2;2502;31;0.00888851159300028
1;2502;32;0.000663259019235322
2;2502;32;-0.000540353001326638
1;2502;33;0.00244379862603114
2;2502;33;-0.00199094755430016
1;2502;34;0.0166881154803975
2;2502;34;-0.0135957039780874
1;2502;35;0.00333406842942899
2;2502;35;-0.00271624483078693
1;2502;36;0.00600487783962267
2;2502;36;-0.00489213666024702
1;2502;37;-0.0144713276385289
2;2502;37;0.0117897006989471
1;2502;38;-0.0011172805875605
2;2502;38;0.000910241551646687
1;2502;39;-0.00200755039095835
2;2502;39;0.00163553882813345
1;2502;40;0.00956595705321431
2;2502;40;-0.00779332576619367
1;2502;41;0.00422433823282684
2;2502;41;-0.00344154210727349
1;2502;42;0.00778541744641849
2;2502;42;-0.00634273121322034
1;2502;43;-0.0011172805875605
2;2502;43;0.000910241551646687
1;2502;44;0.00333406842942899
2;2502;44;-0.00271624483078693
1;2502;45;0.00244379862603114
2;2502;45;-0.00199094755430016
1;2502;46;0.0104562268566122
2;2502;46;-0.00851862304268043
1;2502;47;-0.00289782019435632
2;2502;47;0.00236083610462001
1;2502;48;0.00155352882263317
2;2502;48;-0.0012656502778134
1;2502;49;-0.0100199786215395
2;2502;49;0.00816321431651371
1;2502;50;0.0149075758736017
2;2502;50;-0.012145109425114
1;2502;51;-0.000227010784162528
2;2502;51;0.000184944275159924
1;2502;52;-0.00556862960455
2;2502;52;0.0045367279340801
1;2502;53;0.00422433823282684
2;2502;53;-0.00344154210727349
1;2502;54;-0.00289782019435632
2;2502;54;0.00236083610462001
1;2502;55;0.00422433823282684
2;2502;55;-0.00344154210727349
1;2502;56;0.00867568724981634
2;2502;56;-0.0070680284897071
1;2502;57;0.0113464966600101
2;2502;57;-0.00924392031916719
1;2502;58;0.00155352882263317
2;2502;58;-0.0012656502778134
1;2502;59;0.00689514764302064
2;2502;59;-0.00561743393673358
1;2502;60;-0.00556862960455
2;2502;60;0.0045367279340801
1;2502;61;0.00422433823282684
2;2502;61;-0.00344154210727349
1;2502;62;-0.00467835980115202
2;2502;62;0.00381143065759354
1;2502;63;-0.0126907880317332
2;2502;63;0.0103391061459738
1;2502;64;0.00778541744641849
2;2502;64;-0.00634273121322034
1;2502;65;0.00600487783962267
2;2502;65;-0.00489213666024702
1;2502;66;0.012236766463408
2;2502;66;-0.00996921759565375
1;2502;67;0.000663259019235322
2;2502;67;-0.000540353001326638
1;2502;68;0.00689514764302064
2;2502;68;-0.00561743393673358
1;2502;69;0.00155352882263317
2;2502;69;-0.0012656502778134
1;2502;70;0.00333406842942899
2;2502;70;-0.00271624483078693
1;2502;71;0.00244379862603114
2;2502;71;-0.00199094755430016
1;2502;72;-0.021593486065712
2;2502;72;0.0175920789108408
1;2502;73;0.012236766463408
2;2502;73;-0.00996921759565375
1;2502;74;-0.0011172805875605
2;2502;74;0.000910241551646687
1;2502;75;-0.00645889940794784
2;2502;75;0.00526202521056686
1;2502;76;0.00422433823282684
2;2502;76;-0.00344154210727349
1;2502;77;0.00333406842942899
2;2502;77;-0.00271624483078693
1;2502;78;0.00422433823282684
2;2502;78;-0.00344154210727349
1;2502;79;0.00422433823282684
2;2502;79;-0.00344154210727349
1;2502;80;-0.00200755039095835
2;2502;80;0.00163553882813345
1;2502;81;-0.0100199786215395
2;2502;81;0.00816321431651371
1;2502;82;-0.00467835980115202
2;2502;82;0.00381143065759354
1;2502;83;0.00511460803622482
2;2502;83;-0.00416683938376025
1;2502;84;0.00956595705321431
2;2502;84;-0.00779332576619367
