urbrur;n;iter;diff_rel
1;2502;79;0.012236766463408
2;2502;79;-0.00996921759565375
1;2502;80;0.0255908135143765
2;2502;80;-0.0208486767429544
1;2502;81;0.0184686550871933
2;2502;81;-0.0150462985310607
1;2502;82;-0.021593486065712
2;2502;82;0.0175920789108408
1;2502;83;0.0273713531211722
2;2502;83;-0.0222992712959277
1;2502;84;-0.0153615974419268
2;2502;84;0.0125149979754339
1;2502;85;0.0247005437109785
2;2502;85;-0.0201233794664676
1;2502;86;-0.0189226766555184
2;2502;86;0.0154161870813807
1;2502;87;0.000663259019235322
2;2502;87;-0.000540353001326638
1;2502;88;0.020249194693989
2;2502;88;-0.0164968930840342
1;2502;89;-0.0269351048860995
2;2502;89;0.021943862569761
1;2502;90;0.0264810833177743
2;2502;90;-0.021573974019441
1;2502;91;0.0362740511551512
2;2502;91;-0.0295522440607948
1;2502;92;-0.0189226766555184
2;2502;92;0.0154161870813807
1;2502;93;0.0398351303687428
2;2502;93;-0.0324534331667416
1;2502;94;0.00778541744641849
2;2502;94;-0.00634273121322034
1;2502;95;-0.0171421370487227
2;2502;95;0.0139655925284072
1;2502;96;-0.00467835980115202
2;2502;96;0.00381143065759354
1;2502;97;0.00689514764302064
2;2502;97;-0.00561743393673358
1;2502;98;0.000663259019235322
2;2502;98;-0.000540353001326638
1;2502;99;0.037164320958549
2;2502;99;-0.0302775413372815
1;2502;100;0.0247005437109785
2;2502;100;-0.0201233794664676
1;33148;1;0.0112516899625926
2;33148;1;-0.00916668189193168
1;33148;2;0.00110490245615688
2;33148;2;-0.000900157164912618
1;33148;3;0.0058087112339747
2;33148;3;-0.00473232094565008
1;33148;4;-0.00225496095657017
2;33148;4;0.00183710267847117
1;33148;5;-0.000843818323224821
2;33148;5;0.000687453544249991
1;33148;6;-0.00803392602646083
2;33148;6;0.00654518960909129
1;33148;7;-0.00312852544387928
2;33148;7;0.00254879023775092
1;33148;8;0.00157528333393867
2;33148;8;-0.00128337354298634
1;33148;9;0.011050098157829
2;33148;9;-0.00900244630132877
1;33148;10;-0.00158298827402478
2;33148;10;0.00128965070979433
1;33148;11;-0.00924347685504257
2;33148;11;0.00753060315270936
1;33148;12;0.00379279318633855
2;33148;12;-0.00308996503961977
1;33148;13;0.00594310577048386
2;33148;13;-0.00484181133938529
1;33148;14;-0.00655558612486091
2;33148;14;0.00534079527800241
1;33148;15;0.00258324235775681
2;33148;15;-0.0021045514960015
1;33148;16;-0.0101170413423516
2;33148;16;0.00824229071198911
1;33148;17;0.00312082050379304
2;33148;17;-0.00254251307094293
1;33148;18;0.0019112696752113
2;33148;18;-0.00155709952732486
1;33148;19;0.00426317406412033
2;33148;19;-0.00347318141769349
1;33148;20;-0.00252375002958835
2;33148;20;0.00205608346594178
1;33148;21;0.00137369152917506
2;33148;21;-0.00111913795238343
1;33148;22;0.00406158225935673
2;33148;22;-0.00330894582709038
1;33148;23;-0.000306240177188463
2;33148;23;0.000249491969308561
1;33148;24;0.0054055276244475
2;33148;24;-0.00440384976444406
1;33148;25;0.00197846694346587
2;33148;25;-0.00161184472419257
1;33148;26;-0.00198617188355199
2;33148;26;0.00161812189100035
1;33148;27;0.0036583986498294
2;33148;27;-0.00298047464588436
1;33148;28;-0.0046068653454792
2;33148;28;0.0037531845688398
1;33148;29;0.00567431669746568
2;33148;29;-0.00462283055191467
1;33148;30;-0.00259094729784292
2;33148;30;0.00211082866280949
1;33148;31;0.000768916114884129
2;33148;31;-0.000626431180574299
1;33148;32;-0.0101842386106061
2;33148;32;0.00829703590885681
1;33148;33;-0.00830271509947888
2;33148;33;0.00676417039656191
1;33148;34;-0.010049844074097
2;33148;34;0.0081875455151216
1;33148;35;0.00117209972441134
2;33148;35;-0.000954902361780321
1;33148;36;-0.00608520524707912
2;33148;36;0.00495757889992868
1;33148;37;-0.00050783198195219
2;33148;37;0.000413727559911471
1;33148;38;-0.00420368173595187
2;33148;38;0.00342471338763378
1;33148;39;0.0146787506435742
2;33148;39;-0.0119586869321832
1;33148;40;0.00459916040539296
2;33148;40;-0.00374690740203181
1;33148;41;-0.000709423786715793
2;33148;41;0.000577963150514583
1;33148;42;0.00137369152917506
2;33148;42;-0.00111913795238343
1;33148;43;-0.00346451178515191
2;33148;43;0.00282251622208924
1;33148;44;-0.00171738281053393
2;33148;44;0.00139914110352974
1;33148;45;0.0114532817673562
2;33148;45;-0.00933091748253479
1;33148;46;0.00137369152917506
2;33148;46;-0.00111913795238343
1;33148;47;0.0058087112339747
2;33148;47;-0.00473232094565008
1;33148;48;0.00473355494190211
2;33148;48;-0.00385639779576722
1;33148;49;0.00338960957681122
2;33148;49;-0.00276149385841375
1;33148;50;0.00668227572128382
2;33148;50;-0.00544400850492983
1;33148;51;-0.0123345511947514
2;33148;51;0.0100488822086225
1;33148;52;0.00325521504030219
2;33148;52;-0.00265200346467834
1;33148;53;0.00607750030699288
2;33148;53;-0.0049513017331207
1;33148;54;-0.00198617188355199
2;33148;54;0.00161812189100035
1;33148;55;0.000970507919647732
2;33148;55;-0.000790666771177411
1;33148;56;-0.00501004895500641
2;33148;56;0.00408165575004582
1;33148;57;0.00681667025779284
2;33148;57;-0.00555349889866524
1;33148;58;-0.00474125988198823
2;33148;58;0.00386267496257521
1;33148;59;0.000701718846629553
2;33148;59;-0.000571685983706595
1;33148;60;0.00769023474510196
2;33148;60;-0.00626518645794499
1;33148;61;-0.00144859373751575
2;33148;61;0.00118016031605892
1;33148;62;0.0150147369848469
2;33148;62;-0.0122324129165217
1;33148;63;-0.00420368173595187
2;33148;63;0.00342471338763378
1;33148;64;-0.00964666046456978
2;33148;64;0.00785907433391538
1;33148;65;0.0115876763038652
2;33148;65;-0.0094404078762702
1;33148;66;-0.00104541012798842
2;33148;66;0.000851689134852902
1;33148;67;0.00553992216095653
2;33148;67;-0.00451334015817927
1;33148;68;-0.00326291998038831
2;33148;68;0.00265828063148633
1;33148;69;0.00648068391652021
2;33148;69;-0.00527977291432672
1;33148;70;0.000970507919647732
2;33148;70;-0.000790666771177411
1;33148;71;-0.00843710963598803
2;33148;71;0.00687366079029731
1;33148;72;-0.00010464837242486
2;33148;72;8.52563787054491e-05
1;33148;73;-0.00212056642006114
2;33148;73;0.00172761228473576
1;33148;74;-0.00480845715024281
2;33148;74;0.00391742015944271
1;33148;75;-0.000911015591479396
2;33148;75;0.000742198741117494
1;33148;76;-0.000373437445443039
2;33148;76;0.000304237166176265
1;33148;77;0.00325521504030219
2;33148;77;-0.00265200346467834
1;33148;78;0.0019112696752113
2;33148;78;-0.00155709952732486
1;33148;79;-0.00366610358991564
2;33148;79;0.00298675181269235
1;33148;80;-0.00104541012798842
2;33148;80;0.000851689134852902
1;33148;81;-0.00474125988198823
