geo2;n;iter;diff_rel
101;2502;1;0.0681513262346381
102;2502;1;-0.0812538330744287
103;2502;1;-0.234001143818188
104;2502;1;-0.0852362872167142
105;2502;1;-0.00131254154457513
106;2502;1;0.135518190503106
107;2502;1;-0.113030689782522
108;2502;1;0.168473915165157
109;2502;1;-0.0820522929482502
11;2502;1;-0.0727598329362138
12;2502;1;-0.0076843349727171
13;2502;1;0.00491439526002945
14;2502;1;0.0189219548274425
15;2502;1;-0.299052170811546
16;2502;1;-0.110859432372801
17;2502;1;-0.296744062550471
18;2502;1;-0.113232315020534
21;2502;1;0.740473591535823
22;2502;1;-0.306723994813658
23;2502;1;0.175934335621956
24;2502;1;-0.0441925073247545
25;2502;1;0.421091835397977
26;2502;1;-0.0280079782861671
27;2502;1;0.176786105376605
28;2502;1;0.0392153748585758
31;2502;1;-0.176847935229901
32;2502;1;0.115656726213732
33;2502;1;-0.0645128911572694
34;2502;1;-0.00998627305442389
35;2502;1;-0.0777937944779063
41;2502;1;0.0659179287229019
42;2502;1;0.00265674581794561
43;2502;1;0.082045443034042
44;2502;1;0.0728422692006683
51;2502;1;-0.102787922203228
52;2502;1;0.0252401564905979
53;2502;1;-0.0198302856489476
54;2502;1;0.00736285951561761
55;2502;1;-0.0348228506578894
56;2502;1;0.114558735999653
57;2502;1;0.24611329733596
61;2502;1;-0.0149912539036467
62;2502;1;0.139090129990386
63;2502;1;-0.121199736539848
64;2502;1;-0.29303987316603
71;2502;1;-0.139396917202393
72;2502;1;-0.0144989530900953
73;2502;1;-0.0595168075386251
74;2502;1;-0.184850462731212
81;2502;1;0.0944201852448388
82;2502;1;0.091298311964344
83;2502;1;-0.0277448688534774
84;2502;1;0.065775182911925
91;2502;1;0.191883630528803
92;2502;1;-0.0875256925189899
93;2502;1;0.221846990492712
94;2502;1;-0.0345209627225244
95;2502;1;0.041835976386903
96;2502;1;0.126791298445623
97;2502;1;0.015525548311351
98;2502;1;0.193675382018301
101;2502;2;-0.26915961889209
102;2502;2;-0.0375040156017825
103;2502;2;0.148998284272719
104;2502;2;0.143454640979107
105;2502;2;0.241611434836474
106;2502;2;-0.0602608078594983
107;2502;2;0.0787464583726081
108;2502;2;-0.0457463026151221
109;2502;2;-0.00861647638411011
11;2502;2;0.112688200476543
12;2502;2;-0.135725065943979
13;2502;2;0.0784447168644218
14;2502;2;0.0189219548274425
15;2502;2;0.0514217437826815
16;2502;2;0.0161606487167989
17;2502;2;0.11881626412425
18;2502;2;-0.0846269058276481
21;2502;2;-0.129763204232089
22;2502;2;-0.108645136188989
23;2502;2;-0.0797035634262953
24;2502;2;0.115108741454453
25;2502;2;-0.125481947447399
26;2502;2;-0.0627219790616611
27;2502;2;-0.0585711156987162
28;2502;2;0.0171044094360529
31;2502;2;-0.0192230717632858
32;2502;2;-0.115894669792891
33;2502;2;0.135948632166173
34;2502;2;0.0960866262611735
35;2502;2;-0.0201559066327755
41;2502;2;-0.0406738641493883
42;2502;2;-0.0712232249265346
43;2502;2;-0.0675991395132191
44;2502;2;-0.175743134638511
51;2502;2;0.141906280832256
52;2502;2;-0.0479912832587305
53;2502;2;0.134933353459113
54;2502;2;-0.0555973192041085
55;2502;2;0.244006103596498
56;2502;2;0.0288234486150647
57;2502;2;-0.0654150269980298
61;2502;2;0.0638094457840617
62;2502;2;0.07337339172171
63;2502;2;-0.0427354273023347
64;2502;2;0.153461259571214
71;2502;2;0.0980108297762574
72;2502;2;-0.0780796657939601
73;2502;2;-0.0314426823905243
74;2502;2;0.0574912915919413
81;2502;2;-0.104565302981495
82;2502;2;-0.0178315192320904
83;2502;2;0.0470439873885627
84;2502;2;-0.344138348977277
91;2502;2;-0.161267074813065
92;2502;2;0.0610166366058256
93;2502;2;0.221846990492712
94;2502;2;-0.127355485537666
95;2502;2;-0.0102558224324421
