urbrur;n;iter;diff_rel
1;2502;1;0.0309324323347638
2;2502;1;-0.0252004604018746
1;2502;2;-0.00289782019435632
2;2502;2;0.00236083610462001
1;2502;3;-0.013581057835131
2;2502;3;0.0110644034224606
1;2502;4;0.0193589248905912
2;2502;4;-0.0157715958075475
1;2502;5;-0.0207032162623142
2;2502;5;0.0168667816343541
1;2502;6;-0.030496184099691
2;2502;6;0.0248450516757079
1;2502;7;-0.0162518672453247
2;2502;7;0.0132402952519207
1;2502;8;-0.0011172805875605
2;2502;8;0.000910241551646687
1;2502;9;0.0353837813517533
2;2502;9;-0.028826946784308
1;2502;10;-0.0180324068521205
2;2502;10;0.014690889804894
1;2502;11;0.00244379862603114
2;2502;11;-0.00199094755430016
1;2502;12;0.0140173060702038
2;2502;12;-0.0114198121486273
1;2502;13;0.00689514764302064
2;2502;13;-0.00561743393673358
1;2502;14;0.0220297343007848
2;2502;14;-0.0179474876370075
1;2502;15;-0.0109102484249373
2;2502;15;0.00888851159300028
1;2502;16;-0.0153615974419268
2;2502;16;0.0125149979754339
1;2502;17;0.00600487783962267
2;2502;17;-0.00489213666024702
1;2502;18;-0.0411794217404658
2;2502;18;0.0335486189935482
1;2502;19;0.0149075758736017
2;2502;19;-0.012145109425114
1;2502;20;-0.0073491692113457
2;2502;20;0.00598732248705363
1;2502;21;-0.00823943901474367
2;2502;21;0.00671261976354019
1;2502;22;0.00422433823282684
2;2502;22;-0.00344154210727349
1;2502;23;0.00333406842942899
2;2502;23;-0.00271624483078693
1;2502;24;0.00778541744641849
2;2502;24;-0.00634273121322034
1;2502;25;-0.0269351048860995
2;2502;25;0.021943862569761
1;2502;26;0.0149075758736017
2;2502;26;-0.012145109425114
1;2502;27;-0.0100199786215395
2;2502;27;0.00816321431651371
1;2502;28;-0.013581057835131
2;2502;28;0.0110644034224606
1;2502;29;-0.0144713276385289
2;2502;29;0.0117897006989471
1;2502;30;-0.00289782019435632
2;2502;30;0.00236083610462001
1;2502;31;0.00778541744641849
2;2502;31;-0.00634273121322034
1;2502;32;0.0309324323347638
2;2502;32;-0.0252004604018746
1;2502;33;0.012236766463408
2;2502;33;-0.00996921759565375
1;2502;34;-0.031386453903089
2;2502;34;0.0255703489521944
1;2502;35;-0.0207032162623142
2;2502;35;0.0168667816343541
1;2502;36;0.00333406842942899
2;2502;36;-0.00271624483078693
1;2502;37;-0.00289782019435632
2;2502;37;0.00236083610462001
1;2502;38;-0.0661069762356069
2;2502;38;0.0538569427351758
1;2502;39;0.00778541744641849
2;2502;39;-0.00634273121322034
1;2502;40;-0.0287156444928952
2;2502;40;0.0233944571227343
1;2502;41;-0.00467835980115202
2;2502;41;0.00381143065759354
1;2502;42;0.0157978456769995
2;2502;42;-0.0128704067016006
1;2502;43;-0.0126907880317332
2;2502;43;0.0103391061459738
1;2502;44;0.0140173060702038
2;2502;44;-0.0114198121486273
1;2502;45;-0.0162518672453247
2;2502;45;0.0132402952519207
1;2502;46;0.00867568724981634
2;2502;46;-0.0070680284897071
1;2502;47;0.0184686550871933
2;2502;47;-0.0150462985310607
1;2502;48;0.0175783852837953
2;2502;48;-0.0143210012545741
1;2502;49;0.0220297343007848
2;2502;49;-0.0179474876370075
1;2502;50;-0.0500821197744448
2;2502;50;0.0408015917584152
1;2502;51;0.00511460803622482
2;2502;51;-0.00416683938376025
1;2502;52;-0.0171421370487227
2;2502;52;0.0139655925284072
1;2502;53;-0.0162518672453247
2;2502;53;0.0132402952519207
1;2502;54;0.00689514764302064
2;2502;54;-0.00561743393673358
1;2502;55;0.0140173060702038
2;2502;55;-0.0114198121486273
1;2502;56;-0.00378808999775417
2;2502;56;0.00308613338110678
1;2502;57;0.00155352882263317
2;2502;57;-0.0012656502778134
1;2502;58;-0.0242642954759058
2;2502;58;0.0197679707403009
1;2502;59;-0.00289782019435632
2;2502;59;0.00236083610462001
1;2502;60;-0.0420696915438637
2;2502;60;0.034273916270035
1;2502;61;0.00244379862603114
2;2502;61;-0.00199094755430016
1;2502;62;0.00689514764302064
2;2502;62;-0.00561743393673358
1;2502;63;0.0318227021381617
2;2502;63;-0.0259257576783613
1;2502;64;0.00333406842942899
2;2502;64;-0.00271624483078693
1;2502;65;0.0327129719415596
